[ 문제 2번 참고 : 2018년도 기준 cp별로 분류만 했음 ]

      year batter_name    war  cp
5     2018         백용환  0.083  포수
6     2018         신범수 -0.231  포수
10    2018         김민식  0.941  포수
13    2018         한승택  0.493  포수
175   2018         장승현  0.091  포수
179   2018         박세혁  1.322  포수
182   2018         이흥련 -0.175  포수
306   2018         주효상 -0.172  포수
312   2018         박동원  0.510  포수
319   2018         이지영  1.569  포수
550   2018         이재원  4.134  포수
772   2018         정범모 -0.480  포수
773   2018         김형준 -0.517  포수
782   2018         양의지  6.643  포수
876   2018         장성우  0.491  포수
879   2018         이준수 -0.046  포수
962   2018         강민호  1.992  포수
964   2018         김응민 -0.024  포수
1034  2018         김창혁 -0.049  포수
1041  2018         최재훈  0.836  포수
1043  2018         지성준  0.491  포수
1308  2018         안중열  0.438  포수
1310  2018         나종덕 -1.616  포수
1638  2018         김민수 -0.038  포수
1762  2018         이해창 -0.134  포수
1816  2018         김종민 -0.089  포수



      year batter_name    war   cp
53    2018         김주찬  2.328  1루수
61    2018         유민상  0.288  1루수
63    2018         류승현  0.164  1루수
186   2018         신성현 -0.251  1루수
223   2018         오재일  3.203  1루수
487   2018         최승준  0.059  1루수
503   2018          로맥  5.362  1루수
519   2018         박정권 -0.134  1루수
673   2018         김용의 -0.668  1루수
825   2018         모창민  0.570  1루수
916   2018         박승욱  0.381  1루수
976   2018         손주인 -0.816  1루수
985   2018         백승민 -0.180  1루수
1080  2018         김회성  0.462  1루수
1081  2018         김인환 -0.202  1루수
1315  2018         오윤석 -0.135  1루수
1351  2018         채태인  0.438  1루수
1353  2018         전병우  1.117  1루수
1391  2018          정훈  0.771  1루수
1632  2018          러프  5.484  1루수
1708  2018         박병호  6.812  1루수
1721  2018         윤석민  0.393  1루수
1737  2018         이원재  0.350  1루수



      year batter_name    war   cp
17    2018         황윤호 -0.486  2루수
34    2018         안치홍  4.382  2루수
57    2018         최정민 -0.364  2루수
211   2018         오재원  3.335  2루수
213   2018         정병곤 -0.328  2루수
245   2018         최주환  4.507  2루수
321   2018         김혜성  1.301  2루수
334   2018         서건창  0.539  2루수
474   2018         나주환  1.271  2루수
476   2018          최항  1.306  2루수
480   2018          정현 -0.584  2루수
507   2018         안상현  0.027  2루수
666   2018         정주현  1.037  2루수
691   2018         양원혁  0.096  2루수
719   2018         박지규 -0.650  2루수
800   2018         박민우  2.725  2루수
897   2018         박경수  2.551  2루수
902   2018         김영환 -0.106  2루수
977   2018         김호재 -0.240  2루수
1082  2018         정은원 -0.021  2루수
1357  2018         김동한 -0.455  2루수
1648  2018         김상수  1.039  2루수
1660  2018         김성훈  0.277  2루수
1663  2018         김재현  0.011  2루수
1728  2018         이상호 -0.758  2루수
1795  2018         홍재호 -0.134  2루수



      year batter_name    war   cp
174   2018         이범호  2.622  3루수
188   2018         전민재  0.047  3루수
195   2018         허경민  4.054  3루수
341   2018         장영석  0.208  3루수
343   2018         송성문  1.779  3루수
501   2018          최정  3.804  3루수
659   2018         백승현 -0.001  3루수
690   2018         윤진호 -0.292  3루수
694   2018         김재율  0.016  3루수
706   2018         김민성  1.722  3루수
718   2018         양종민 -0.031  3루수
816   2018         지석훈 -0.867  3루수
837   2018         박석민  0.986  3루수
912   2018         황재균  3.217  3루수
984   2018         최영진  0.334  3루수
1066  2018         송광민  1.579  3루수
1068  2018         김태연 -0.148  3루수
1322  2018         황진수 -0.180  3루수
1352  2018         한동희 -0.311  3루수
1466  2018         문규현  0.357  3루수
1670  2018         김지수 -0.308  3루수
1789  2018         최원준 -0.099  3루수
1908  2018         이원석  3.315  3루수



      year batter_name    war   cp
26    2018         김선빈  1.527  유격수
199   2018         류지혁  0.865  유격수
235   2018         김재호  3.568  유격수
327   2018         김하성  4.395  유격수
608   2018         최윤석  0.003  유격수
683   2018         오지환  3.096  유격수
802   2018         김찬형  0.045  유격수
842   2018         노진혁  1.646  유격수
883   2018         심우준  0.150  유격수
884   2018         고명성 -0.044  유격수
900   2018         강민국 -0.032  유격수
1048  2018         하주석  0.805  유격수
1056  2018         오선진 -0.570  유격수
